batch_count, batch_size, messages_per_second
1, 1, 2276.049
1, 2, 2136.681
1, 4, 4412.270
1, 8, 5606.983
1, 16, 6122.848
1, 32, 7323.017
1, 64, 7027.584
1, 128, 7882.271
1, 256, 8421.888
1, 512, 8370.063
2, 1, 3088.362
2, 2, 5782.057
2, 4, 8431.609
2, 8, 7038.456
2, 16, 10207.448
2, 32, 12149.699
2, 64, 11654.992
2, 128, 14086.368
2, 256, 13862.425
2, 512, 16025.244
4, 1, 4364.066
4, 2, 10027.623
4, 4, 6700.166
4, 8, 16161.464
4, 16, 15195.377
4, 32, 20693.292
4, 64, 22342.066
4, 128, 21964.244
4, 256, 27065.312
4, 512, 26670.073
8, 1, 5379.382
8, 2, 13022.756
8, 4, 15931.266
8, 8, 25976.452
8, 16, 27834.452
8, 32, 30783.177
8, 64, 36161.324
8, 128, 37168.294
8, 256, 43111.990
8, 512, 42228.702
16, 1, 5279.839
16, 2, 15375.719
16, 4, 29764.648
16, 8, 45085.651
16, 16, 46074.639
16, 32, 48610.018
16, 64, 46476.194
16, 128, 62126.871
16, 256, 63246.387
16, 512, 66131.614
32, 1, 7407.078
32, 2, 10744.811
32, 4, 28331.218
32, 8, 49811.276
32, 16, 56615.828
32, 32, 59015.449
32, 64, 58440.415
32, 128, 66539.329
32, 256, 69858.278
32, 512, 68294.616
64, 1, 8931.593
64, 2, 12058.391
64, 4, 27902.443
64, 8, 35333.821
64, 16, 52707.910
64, 32, 63241.452
64, 64, 64204.273
64, 128, 73766.428
64, 256, 74272.473
64, 512, 75729.174
128, 1, 8503.727
128, 2, 15335.050
128, 4, 35705.344
128, 8, 45607.592
128, 16, 49589.796
128, 32, 65614.745
128, 64, 67689.486
128, 128, 74414.283
128, 256, 75209.879
128, 512, 76472.236
256, 1, 6981.979
256, 2, 16392.930
256, 4, 35204.765
256, 8, 37516.726
256, 16, 47977.151
256, 32, 64305.568
256, 64, 72432.115
256, 128, 80898.494
256, 256, 81122.987
256, 512, 79926.259
512, 1, 8281.383
512, 2, 16451.174
512, 4, 32023.413
512, 8, 40056.885
512, 16, 56468.890
512, 32, 65734.940
512, 64, 73613.525
512, 128, 80516.322
512, 256, 81303.185
512, 512, 78736.454
